year;month;day;distance;avg_speed
2018;1;28;23,1;18,3
2018;3;30;11,8;19,4
2018;4;8;22,8;16,8
2018;6;10;17,2;17,2
2018;6;13;10,7;16,1
2018;6;13;17,2;14,9
2018;7;1;26,2;18,0
2018;7;8;27,5;20,5
2018;8;12;43,0;18,2
2018;8;19;23,1;20,0
2018;8;26;16,7;19,6
2018;9;2;18,1;19,8
2018;9;30;37,0;19,5
2018;10;7;24,4;19,3
2018;12;9;17,1;17,6
2019;4;28;35,7;18,0
2019;5;5;22,9;17,9
2019;6;15;47,0;17,9
2019;6;20;40,7;18,6
2019;7;7;23,5;17,4
2019;7;13;33,0;19,0
2019;8;3;40,3;18,8
2019;8;8;17,2;14,2
2019;8;24;49,7;18,2
2019;9;17;39,9;13,4
2019;9;22;34,7;18,5
2019;10;6;13,2;18,3
2019;10;24;85,7;18,5
2019;12;22;21,2;16,1
2019;12;27;53,6;14,4
2020;2;15;32,5;18,7
2020;3;8;39,9;18,5
2020;3;14;24,6;17,7
2020;3;24;21,1;18,4
2020;3;28;44,2;16,5
2020;4;5;46,2;17,2
2020;4;12;34,3;19,7
2020;4;18;49,4;20,0
2020;4;25;50,8;18,9
2020;5;3;88;19,8
2020;5;10;48,4;21,1
2020;5;24;50,7;18,6
2020;5;26;16,3;18,0
2020;5;31;60,9;19,4
2020;6;6;49,4;19,6
2020;6;14;47,3;18,4
2020;6;28;69;19,2
2020;6;30;45,6;20,4
2020;7;2;45,7;22,4
2020;7;5;87,5;20,0
2020;7;7;41;18,5
2020;7;12;108;21,5
2020;7;17;50,9;21,0
2020;7;26;69,3;19,2
2020;8;2;81,9;21,2
2020;8;23;54;18,7
2020;8;30;51,4;19,9
2020;9;6;75,3;20,3
2020;9;16;48,2;19,8
2020;9;29;52,2;22,0
2020;10;3;55,2;18,6
2020;10;7;37,5;22,2
2020;10;14;37,8;22,2
2020;11;3;35,5;20,4
2020;11;7;69,9;20,2
2020;11;15;44,9;21,5
2020;11;29;35;21,3
2020;12;5;32,3;20,9
2020;12;13;42,6;21,0
2020;12;19;36,6;19,8
2020;12;23;52,4;20,9
