year;month;day;distance
2018;7;14;8
2018;3;25;15,2
2018;3;31;19,9
2018;5;21;16
2018;9;7;11,6
2018;9;9;14,6
2018;9;10;10
2018;9;11;11,5
2018;9;12;10,1
2018;9;14;11,5
2018;9;16;9,5
2018;10;3;20,2
2018;10;27;13,7
2018;11;2;23
2019;2;16;11,5
2019;3;17;10
2019;3;23;17,6
2019;5;1;21,2
2019;5;12;10,1
2019;5;18;14,7
2019;6;3;9,3
2019;6;4;11,4
2019;6;5;15,6
2019;6;7;8,9
2019;6;11;12,7
2019;6;12;9,9
2019;6;13;8,3
2019;9;8;18,5
2019;9;29;16
2019;10;30;11,5
2019;10;31;9,6
2020;5;9;12,7
2020;5;21;14,3
2020;6;8;15,1
2020;6;10;15,3
2020;6;12;14,5
2020;6;15;13,8
2020;6;16;11,1
2020;8;29;15,4
2020;9;13;22,9
2020;9;19;15,9
2020;9;20;21,5
2020;9;21;15,3
2020;9;22;24
2020;9;24;10,8
2020;9;27;18,9
2020;9;28;7,8
2020;9;30;17,8
2020;10;11;14,1
2020;12;21;10,1
